-4096	15
4095	-16
4080	-4096
-4081	4095
255	4080
-16	-4081
-4081	15
3855	-16
-16	-4096
-4096	4095
4095	4080
4080	-4081
-4081	255
15	-16
-16	-4081
-4096	3855
4095	-16
4080	-4096
-4081	4095
255	4080
-16	-4081
-4081	15
3951	-16
-16	-4096
-4090	4095
4095	4080
28656	-4081
-4081	255
1551	-16
-16	-4081
-4096	3951
4095	-16
4080	-4090
-4081	4095
15	28656
-16	-4081
-4096	1551
4095	-16
4080	-4096
-4081	4095
255	4080
-16	-4081
-4081	15
3855	-16
-16	-4096
-4096	4095
4095	4080
4080	-4081
-4081	255
15	-16
-16	-4081
-4096	3855
4095	-16
4080	-4096
-4081	4095
15	4080
-16	-4081
-4096	15
4095	-16
4080	-4096
-4081	4095
255	4080
-16	-4081
-4081	15
3855	-16
-16	-4096
-4096	4095
4095	4080
4080	-4081
-4081	255
15	-16
-16	-4081
-4096	3855
4095	-16
4080	-4096
-4081	4095
255	4080
-16	-4081
-4081	15
3951	-16
-16	-4096
-4090	4095
4095	4080
28656	-4081
-4081	255
1551	-16
-16	-4081
-4096	3951
4095	-16
4080	-4090
-4081	4095
15	28656
-16	-4081
-4096	1551
4095	-16
4080	-4096
-4081	4095
255	4080
-16	-4081
-4081	15
3855	-16
-16	-4096
-4096	4095
4095	4080
4080	-4081
-4081	255
15	-16
-16	-4081
-4096	3855
4095	-16
4080	-4096
-4081	4095
15	4080
-16	-4081
-4096	15
4095	-16
4080	-4096
-4081	4095
255	4080
-16	-4081
-4081	15
3855	-16
-16	-4096
-4096	4095
4095	4080
4080	-4081
-4081	255
15	-16
-16	-4081
-4096	3855
4095	-16
4080	-4096
-4081	4095
255	4080
-16	-4081
-4081	15
3951	-16
-16	-4096
-4090	4095
4095	4080
28656	-4081
-4081	255
1551	-16
-16	-4081
-4096	3951
4095	-16
4080	-4090
-4081	4095
15	28656
-16	-4081
-4096	1551
4095	-16
4080	-4096
-4081	4095
255	4080
-16	-4081
-4081	15
3855	-16
-16	-4096
-4096	4095
4095	4080
4080	-4081
-4081	255
15	-16
-16	-4081
-4096	3855
4095	-16
4080	-4096
-4081	4095
15	4080
-16	-4081
-4096	15
4095	-16
4080	-4096
-4081	4095
255	4080
-16	-4081
-4081	15
3855	-16
-16	-4096
-4096	4095
4095	4080
4080	-4081
-4081	255
15	-16
-16	-4081
-4096	3855
4095	-16
4080	-4096
-4081	4095
255	4080
-16	-4081
-4081	15
3951	-16
-16	-4096
-4090	4095
4095	4080
28656	-4081
-4081	255
1551	-16
-16	-4081
-4096	3951
4095	-16
4080	-4090
-4081	4095
15	28656
-16	-4081
-4096	1551
4095	-16
4080	-4096
-4081	4095
255	4080
-16	-4081
-4081	15
3855	-16
-16	-4096
-4096	4095
4095	4080
4080	-4081
-4081	255
15	-16
-16	-4081
-4096	3855
4095	-16
4080	-4096
-4081	4095
15	4080
-16	-4081
-4096	15
4095	-16
4080	-4096
-4081	4095
255	4080
-16	-4081
-4081	15
3855	-16
-16	-4096
-4096	4095
4095	4080
4080	-4081
-4081	255
15	-16
-16	-4081
-4096	3855
4095	-16
4080	-4096
-4081	4095
255	4080
-16	-4081
-4081	15
3951	-16
-16	-4096
-4090	4095
4095	4080
28656	-4081
-4081	255
1551	-16
-16	-4081
-4096	3951
4095	-16
4080	-4090
-4081	4095
15	28656
-16	-4081
-4096	1551
4095	-16
4080	-4096
-4081	4095
255	4080
-16	-4081
-4081	15
3855	-16
-16	-4096
-4096	4095
4095	4080
4080	-4081
-4081	255
15	-16
-16	-4081
-4096	3855
4095	-16
4080	-4096
-4081	4095
15	4080
-16	-4081
-4096	15
4095	-16
4080	-4096
-4081	4095
255	4080
-16	-4081
-4081	15
3855	-16
-16	-4096
-4096	4095
4095	4080
4080	-4081
-4081	255
15	-16
-16	-4081
-4096	3855
4095	-16
4080	-4096
-4081	4095
255	4080
-16	-4081
-4081	15
3951	-16
-16	-4096
-4090	4095
4095	4080
28656	-4081
-4081	255
1551	-16
-16	-4081
-4096	3951
4095	-16
4080	-4090
-4081	4095
15	28656
-16	-4081
-4096	1551
4095	-16
4080	-4096
-4081	4095
255	4080
-16	-4081
-4081	15
3855	-16
-16	-4096
-4096	4095
4095	4080
4080	-4081
-4081	255
15	-16
-16	-4081
-4096	3855
4095	-16
4080	-4096
-4081	4095
15	4080
-16	-4081
-4096	15
4095	-16
4080	-4096
-4081	4095
255	4080
-16	-4081
-4081	15
3855	-16
-16	-4096
-4096	4095
4095	4080
4080	-4081
-4081	255
15	-16
-16	-4081
-4096	3855
4095	-16
4080	-4096
-4081	4095
255	4080
-16	-4081
-4081	15
3951	-16
-16	-4096
-4090	4095
4095	4080
28656	-4081
-4081	255
1551	-16
-16	-4081
-4096	3951
4095	-16
4080	-4090
-4081	4095
15	28656
-16	-4081
-4096	1551
4095	-16
4080	-4096
-4081	4095
255	4080
-16	-4081
-4081	15
3855	-16
-16	-4096
-4096	4095
4095	4080
4080	-4081
-4081	255
15	-16
-16	-4081
-4096	3855
4095	-16
4080	-4096
-4081	4095
15	4080
-16	-4081
-4096	15
4095	-16
4080	-4096
-4081	4095
255	4080
-16	-4081
-4081	15
3855	-16
-16	-4096
-4096	4095
4095	4080
4080	-4081
-4081	255
15	-16
-16	-4081
-4096	3855
4095	-16
4080	-4096
-4081	4095
255	4080
-16	-4081
-4081	15
3951	-16
-16	-4096
-4090	4095
4095	4080
28656	-4081
-4081	255
1551	-16
-16	-4081
-4096	3951
4095	-16
4080	-4090
-4081	4095
15	28656
-16	-4081
-4096	1551
4095	-16
4080	-4096
-4081	4095
255	4080
-16	-4081
-4081	15
3855	-16
-16	-4096
-4096	4095
4095	4080
4080	-4081
-4081	255
15	-16
-16	-4081
-4096	3855
4095	-16
4080	-4096
-4081	4095
15	4080
-16	-4081
-4096	15
4095	-16
4080	-4096
-4081	4095
255	4080
-16	-4081
-4081	15
3855	-16
-16	-4096
-4096	4095
4095	4080
4080	-4081
-4081	255
15	-16
-16	-4081
-4096	3855
4095	-16
4080	-4096
-4081	4095
255	4080
-16	-4081
-4081	15
3951	-16
-16	-4096
-4090	4095
4095	4080
28656	-4081
-4081	255
1551	-16
-16	-4081
-4096	3951
4095	-16
4080	-4090
-4081	4095
15	28656
-16	-4081
-4096	1551
4095	-16
4080	-4096
-4081	4095
255	4080
-16	-4081
-4081	15
3855	-16
-6176	27528
-29703	27541
-21849	-25964
-26296	-26215
-27064	-19097
-30808	22697
-30328	-27032
-30841	-26744
2215	26761
-32657	-25702
-19350	13725
-26233	27078
31879	31367
-25993	27018
-30791	-30822
27030	30312
