0.0	82	25.19	1019.18
0.218	82	25.19	1019.18
1.212	81	25.19	1019.23
2.212	82	25.19	1019.23
3.212	82	25.19	1019.25
4.221	82	25.19	1019.25
5.212	99	25.19	1019.2
6.22	116	25.19	1019.2
7.213	123	25.19	1019.23
8.219	127	25.19	1019.23
9.24	131	25.17	1019.2
10.215	135	25.17	1019.2
11.215	138	25.17	1019.24
12.216	140	25.17	1019.24
13.231	143	25.17	1019.24
14.216	145	25.17	1019.24
15.217	147	25.16	1019.19
16.217	148	25.16	1019.19
17.218	148	25.16	1019.14
18.218	148	25.16	1019.14
19.219	149	25.16	1019.15
20.22	150	25.16	1019.15
21.239	151	25.15	1019.2
22.227	150	25.15	1019.2
23.227	151	25.15	1019.15
24.223	151	25.15	1019.15
25.231	150	25.14	1019.13
26.228	151	25.14	1019.13
27.221	150	25.13	1019.13
28.222	150	25.13	1019.13
29.222	151	25.14	1019.15
30.225	150	25.14	1019.15
31.223	150	25.13	1019.16
32.224	148	25.13	1019.16
33.229	148	25.14	1019.18
34.226	148	25.14	1019.18
35.224	149	25.13	1019.16
36.225	149	25.13	1019.16
37.234	150	25.13	1019.18
38.25	150	25.13	1019.18
39.228	149	25.14	1019.14
