1	256.0	256.0	256.0	
2	1024.0	1024.0	1024.0	
3	853.3333	853.3333	853.3333	
4	704.0	704.0	704.0	
5	665.6	665.6	665.6	
6	597.3333	597.3333	597.3333	
7	548.5714	548.5714	548.5714	
8	512.0	512.0	512.0	
9	512.0	483.55554	483.55554	
10	384.0	512.0	512.0	
11	352.0	488.72726	488.72726	
12	384.0	490.66666	490.66666	
13	448.0	531.6923	531.6923	
14	512.0	548.5714	548.5714	
15	608.0	580.26666	580.26666	
16	608.0	560.0	560.0	
17	640.0	576.0	557.17645	
18	608.0	496.0	554.6667	
19	608.0	480.0	538.9474	
20	608.0	496.0	537.6	
21	576.0	512.0	548.5714	
22	544.0	528.0	546.9091	
23	448.0	528.0	534.26086	
24	512.0	560.0	544.0	
25	512.0	576.0	542.72	
26	512.0	560.0	541.53845	
27	576.0	592.0	549.9259	
28	576.0	592.0	548.5714	
29	704.0	640.0	591.4483	
30	736.0	640.0	597.3333	
31	960.0	704.0	644.129	
32	1440.0	976.0	768.0	
33	1984.0	1248.0	912.0	
34	2144.0	1328.0	912.0	
35	2528.0	1552.0	1016.0	
36	2592.0	1584.0	1040.0	
37	2624.0	1664.0	1088.0	
38	2560.0	1648.0	1088.0	
39	2368.0	1664.0	1096.0	
40	1824.0	1632.0	1096.0	
41	1248.0	1616.0	1096.0	
42	1056.0	1600.0	1080.0	
43	640.0	1584.0	1088.0	
44	544.0	1568.0	1080.0	
45	352.0	1488.0	1064.0	
46	352.0	1456.0	1048.0	
47	352.0	1360.0	1032.0	
48	352.0	1088.0	1032.0	
49	352.0	800.0	1024.0	
50	384.0	720.0	1024.0	
51	352.0	496.0	1024.0	
52	384.0	464.0	1024.0	
53	384.0	368.0	1016.0	
54	384.0	368.0	1008.0	
55	384.0	368.0	1016.0	
56	384.0	368.0	1000.0	
57	448.0	400.0	1008.0	
58	416.0	400.0	1000.0	
59	448.0	400.0	992.0	
60	416.0	400.0	984.0	
61	384.0	384.0	936.0	
62	384.0	384.0	920.0	
63	384.0	384.0	872.0	
64	416.0	400.0	744.0	
65	352.0	400.0	600.0	
66	352.0	384.0	552.0	
67	320.0	384.0	440.0	
68	352.0	384.0	424.0	
69	512.0	448.0	408.0	
70	544.0	464.0	416.0	
71	544.0	464.0	416.0	
72	576.0	496.0	432.0	
73	608.0	480.0	440.0	
74	640.0	496.0	448.0	
75	704.0	512.0	456.0	
76	672.0	512.0	456.0	
77	512.0	512.0	448.0	
78	512.0	528.0	456.0	
79	512.0	528.0	456.0	
80	480.0	528.0	464.0	
81	448.0	528.0	464.0	
82	448.0	544.0	464.0	
83	416.0	560.0	472.0	
84	416.0	544.0	464.0	
85	480.0	496.0	472.0	
86	480.0	496.0	480.0	
87	448.0	480.0	472.0	
88	416.0	448.0	472.0	
89	416.0	432.0	456.0	
90	416.0	432.0	464.0	
91	416.0	416.0	464.0	
92	448.0	432.0	472.0	
93	384.0	432.0	472.0	
94	384.0	432.0	480.0	
95	384.0	416.0	472.0	
96	384.0	400.0	464.0	
97	416.0	416.0	472.0	
98	384.0	400.0	472.0	
99	352.0	384.0	472.0	
100	384.0	416.0	480.0	
101	512.0	448.0	472.0	
102	512.0	448.0	472.0	
103	736.0	560.0	520.0	
104	896.0	640.0	544.0	
105	1088.0	752.0	592.0	
106	1376.0	880.0	656.0	
107	1408.0	880.0	648.0	
