0.0	390	32.21	1007.14
0.274	400	32.21	1007.19
1.28	410	32.21	1007.19
2.283	419	32.21	1007.18
3.273	424	32.21	1007.18
4.273	427	32.21	1007.18
5.279	429	32.21	1007.18
6.284	427	32.2	1007.18
7.285	425	32.2	1007.18
8.281	425	32.19	1007.18
9.282	425	32.19	1007.18
10.283	422	32.19	1007.16
11.296	416	32.19	1007.16
12.283	409	32.19	1007.18
13.294	400	32.19	1007.18
14.283	385	32.19	1007.21
15.283	366	32.19	1007.21
16.294	345	32.17	1007.23
17.353	314	32.17	1007.23
18.284	207	32.17	1007.16
19.295	96	32.17	1007.16
